vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Muffin Utility Inc.,Use Tax,REF-3001,False,Paid in kale chips and weird looks.,Weekly payroll distribution,79575,Sale,0.0,2025-07-18 09:06:00,1083.16,,1590.75,1083.16,Depreciation,6000,wrench,📊
Zappa Solar,Use Tax,REF-5812,True,Paid in kale chips and weird looks.,Payment for organic compost delivery,38791,Payment,785.91,2025-07-18 16:25:00,0.0,CHK-9392,2276.37,785.91,Accounts Payable,2000,globe,💸
Farm Co-op,Sales Tax,REF-8124,True,Billy the Mountain requested cash.,Weekly payroll distribution,14407,Sale,0.0,2025-07-18 17:25:00,1151.37,,4152.01,1151.37,Cost of Goods Sold,5000,dollarsign.circle,🐔
Johnny's Seeds,No Tax,REF-3310,False,"This ain’t the garden of Eden, man.",Weekly payroll distribution,24636,Expense,636.83,2025-07-18 14:17:00,0.0,CHK-7720,3436.98,636.83,Repairs & Maintenance,5400,cart,🍅
Johnny's Seeds,Use Tax,REF-6515,False,Someone painted the barn plaid again.,Weekly payroll distribution,99047,Tax,0.0,2025-07-18 12:11:00,784.46,,2424.72,784.46,Wages Payable,2100,globe,🐝
Tractor Depot,No Tax,REF-9639,True,"This ain’t the garden of Eden, man.",Tractor repair service,73357,Expense,0.0,2025-07-18 10:55:00,331.71,,1374.45,331.71,Prepaid Expenses,1300,chart.bar,📦
USDA,No Tax,REF-2670,False,Eggplant royalty dispute resolved.,Tractor repair service,89419,Payroll,813.04,2025-07-18 16:03:00,0.0,CHK-8246,3193.52,813.04,Utilities,5600,plusminus,🔧
Tractor Depot,No Tax,REF-6775,True,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,74389,Sale,0.0,2025-07-18 16:32:00,141.16,,4863.68,141.16,Professional Services,5800,externaldrive,🌽
Muffin Utility Inc.,No Tax,REF-3062,False,Paid in kale chips and weird looks.,Tractor repair service,21248,Tax,1167.32,2025-07-18 12:31:00,0.0,CHK-9007,3138.0,1167.32,Owner's Equity,3000,person.crop.circle,📅
Tractor Depot,Use Tax,REF-5350,True,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,98474,Payment,0.0,2025-07-18 12:52:00,562.82,CHK-7528,3803.78,562.82,Seeds & Amendments,5100,calendar,🚜
Tractor Depot,Sales Tax,REF-8227,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,78030,Payment,0.0,2025-07-18 16:53:00,787.99,CHK-8677,2118.92,787.99,Fuel,5300,bag,🐄
Zappa Solar,Use Tax,REF-4664,True,Eggplant royalty dispute resolved.,Tractor repair service,63766,Payroll,109.65,2025-07-18 07:14:00,0.0,CHK-5757,3344.43,109.65,Seeds & Amendments,5100,plusminus,🔧
Zappa Solar,Use Tax,REF-4893,True,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,58894,Payment,0.0,2025-07-18 13:55:00,769.51,CHK-2441,3279.35,769.51,Prepaid Expenses,1300,dollarsign.circle,💼
Farm Co-op,No Tax,REF-9162,True,Beware of the Central Scrutinizer.,Weekly payroll distribution,97918,Payment,989.48,2025-07-18 18:15:00,0.0,CHK-6656,4983.4,989.48,Accounts Payable,2000,plusminus,💸
Tractor Depot,Use Tax,REF-6420,True,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,43947,Invoice,60.0,2025-07-18 10:11:00,0.0,,2866.09,60.0,Professional Services,5800,folder,🐔
Zappa Solar,Sales Tax,REF-5130,False,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,29822,Payment,464.8,2025-07-18 15:03:00,0.0,CHK-4876,1321.65,464.8,Wages Payable,2100,hammer,🧑‍🌾
Muffin Utility Inc.,Sales Tax,REF-3276,False,Someone painted the barn plaid again.,Payment for organic compost delivery,59408,Payroll,0.0,2025-07-18 17:30:00,1103.54,CHK-9068,2113.52,1103.54,Cost of Goods Sold,5000,creditcard,🐄
Farm Co-op,Sales Tax,REF-2812,False,Mic’d the compost for microbial jazz.,Equity contribution by Frank,73678,Invoice,0.0,2025-07-18 12:28:00,387.58,,3663.84,387.58,Insurance,5900,hammer,🐔
Johnny's Seeds,No Tax,REF-3158,True,Eggplant royalty dispute resolved.,Tractor repair service,87052,Invoice,307.42,2025-07-18 14:42:00,0.0,CHK-6776,1066.26,307.42,Depreciation,6000,hammer,🚜
Muffin Utility Inc.,Sales Tax,REF-1229,True,Eggplant royalty dispute resolved.,Weekly payroll distribution,80066,Tax,884.23,2025-07-18 18:04:00,0.0,,4769.02,884.23,Cash,1000,chart.bar,🛠
Zappa Solar,Use Tax,REF-9898,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,16900,Expense,0.0,2025-07-18 12:07:00,318.92,,3670.22,318.92,Owner's Equity,3000,externaldrive,🐝
Johnny's Seeds,Use Tax,REF-8423,False,Paid in kale chips and weird looks.,Weekly payroll distribution,70672,Equity Contribution,0.0,2025-07-18 10:31:00,865.85,CHK-1807,4672.74,865.85,Payroll Expenses,5500,briefcase,🐔
Johnny's Seeds,Sales Tax,REF-8254,True,Eggplant royalty dispute resolved.,Weekly payroll distribution,50889,Payment,0.0,2025-07-19 17:31:00,915.26,,1716.35,915.26,Fertilizer & Compost,5200,externaldrive,📅
Compost Collective,No Tax,REF-6910,True,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,74085,Tax,703.65,2025-07-19 07:23:00,0.0,CHK-7582,2802.88,703.65,Marketing & Promotion,5700,folder,🐔
Zappa Solar,Use Tax,REF-7381,True,Paid in kale chips and weird looks.,Equity contribution by Frank,18428,Sale,787.83,2025-07-19 12:27:00,0.0,CHK-1774,2416.15,787.83,Cost of Goods Sold,5000,calendar,🥕
Farm Co-op,No Tax,REF-3139,True,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,47481,Invoice,81.63,2025-07-19 08:32:00,0.0,,1501.69,81.63,Fuel,5300,dollarsign.circle,🏡
Muffin Utility Inc.,Use Tax,REF-1119,True,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,58827,Payment,0.0,2025-07-19 13:40:00,564.76,,2512.41,564.76,Sales - Produce,4000,plusminus,💼
Muffin Utility Inc.,Use Tax,REF-6563,False,Someone painted the barn plaid again.,Payment for organic compost delivery,75102,Tax,0.0,2025-07-19 14:49:00,449.48,,1670.01,449.48,Seeds & Amendments,5100,bag,🌱
Farm Co-op,No Tax,REF-4130,False,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,11043,Payroll,0.0,2025-07-19 11:40:00,982.48,,4655.7,982.48,Insurance,5900,doc.plaintext,🌽
USDA,Sales Tax,REF-1103,False,Billy the Mountain requested cash.,Weekly payroll distribution,82839,Expense,0.0,2025-07-19 14:19:00,318.36,CHK-5388,2402.05,318.36,Marketing & Promotion,5700,tray,🪣
Johnny's Seeds,Sales Tax,REF-6657,True,"This ain’t the garden of Eden, man.",Weekly payroll distribution,73262,Sale,0.0,2025-07-19 15:28:00,757.85,,1129.88,757.85,Marketing & Promotion,5700,bag,🐝
Tractor Depot,Use Tax,REF-2837,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,53181,Equity Contribution,129.15,2025-07-19 15:33:00,0.0,CHK-6046,1567.33,129.15,Inventory,1200,externaldrive,🍅
Muffin Utility Inc.,Sales Tax,REF-2824,True,Someone painted the barn plaid again.,Payment for organic compost delivery,96449,Expense,0.0,2025-07-19 15:16:00,218.04,CHK-4285,1341.91,218.04,Repairs & Maintenance,5400,dollarsign.circle,🏡
Compost Collective,Sales Tax,REF-7788,True,Someone painted the barn plaid again.,Sale at Saturday farmer's market,40852,Tax,1197.29,2025-07-19 12:32:00,0.0,CHK-5471,4201.61,1197.29,Taxes Payable,2200,dollarsign.circle,🚜
Zappa Solar,Use Tax,REF-5069,False,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,41406,Payment,276.14,2025-07-19 13:09:00,0.0,,1474.57,276.14,Professional Services,5800,externaldrive,🌽
Farm Co-op,No Tax,REF-3689,True,Billy the Mountain requested cash.,Sale at Saturday farmer's market,89228,Tax,522.52,2025-07-19 08:31:00,0.0,CHK-3298,1462.59,522.52,Fertilizer & Compost,5200,globe,🛠
Compost Collective,Sales Tax,REF-9051,False,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,11290,Payment,0.0,2025-07-19 13:21:00,188.59,,2508.56,188.59,Owner's Equity,3000,doc.plaintext,🐔
Farm Co-op,No Tax,REF-4222,True,Beware of the Central Scrutinizer.,Weekly payroll distribution,43773,Sale,294.73,2025-07-19 12:14:00,0.0,,3051.32,294.73,Cost of Goods Sold,5000,externaldrive,🚜
USDA,No Tax,REF-8381,False,Someone painted the barn plaid again.,Equity contribution by Frank,54048,Payroll,0.0,2025-07-19 12:50:00,721.52,,2056.15,721.52,Prepaid Expenses,1300,globe,🍅
Compost Collective,No Tax,REF-9251,True,"This ain’t the garden of Eden, man.",Equity contribution by Frank,43353,Tax,194.2,2025-07-19 11:32:00,0.0,,1634.87,194.2,Insurance,5900,folder,🛠
Farm Co-op,Use Tax,REF-7879,True,Billy the Mountain requested cash.,Tractor repair service,99143,Equity Contribution,0.0,2025-07-19 17:56:00,1181.8,CHK-1730,4767.89,1181.8,Fuel,5300,briefcase,🧾
Compost Collective,Sales Tax,REF-2494,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,13791,Expense,69.53,2025-07-19 09:37:00,0.0,CHK-9642,1822.2,69.53,Inventory,1200,plusminus,📊
Farm Co-op,Use Tax,REF-8763,True,Mic’d the compost for microbial jazz.,Tractor repair service,89080,Tax,868.21,2025-07-19 17:35:00,0.0,,4357.36,868.21,Repairs & Maintenance,5400,tray,🔧
Farm Co-op,Use Tax,REF-4945,True,Someone painted the barn plaid again.,Weekly payroll distribution,78788,Payroll,702.3,2025-07-19 13:13:00,0.0,,3794.56,702.3,Accounts Payable,2000,calendar,📊
Zappa Solar,No Tax,REF-1580,True,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,63817,Expense,0.0,2025-07-19 16:04:00,839.22,,3742.41,839.22,Insurance,5900,calendar,🥕
USDA,No Tax,REF-4867,False,Paid in kale chips and weird looks.,Weekly payroll distribution,66337,Equity Contribution,611.16,2025-07-19 15:00:00,0.0,CHK-3484,2725.78,611.16,Fertilizer & Compost,5200,externaldrive,🪣
Compost Collective,No Tax,REF-6102,True,Someone painted the barn plaid again.,Purchase of heirloom tomato seeds,19902,Sale,0.0,2025-07-19 17:16:00,1023.07,,3965.93,1023.07,Seeds & Amendments,5100,leaf,📊
Tractor Depot,No Tax,REF-3958,True,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,97929,Invoice,0.0,2025-07-19 11:52:00,955.69,,1941.03,955.69,Sales - Value-Added Goods,4100,chart.bar,🛠
Farm Co-op,No Tax,REF-3748,False,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,11942,Expense,0.0,2025-07-19 11:09:00,443.42,CHK-8619,4551.18,443.42,Wages Payable,2100,globe,🥕
Johnny's Seeds,No Tax,REF-7822,False,Someone painted the barn plaid again.,Weekly payroll distribution,37955,Expense,0.0,2025-07-19 08:46:00,315.4,CHK-9888,1093.1,315.4,Owner's Equity,3000,chart.bar,🏡
Muffin Utility Inc.,No Tax,REF-8077,False,Someone painted the barn plaid again.,Payment for organic compost delivery,49292,Tax,552.25,2025-07-19 08:20:00,0.0,,1481.89,552.25,Cash,1000,cart,💼
USDA,Sales Tax,REF-7128,False,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,16568,Expense,382.47,2025-07-19 12:15:00,0.0,CHK-7800,4982.25,382.47,Utilities,5600,externaldrive,🌱
Tractor Depot,Use Tax,REF-7220,True,"This ain’t the garden of Eden, man.",Weekly payroll distribution,64221,Equity Contribution,798.54,2025-07-19 10:10:00,0.0,,4832.82,798.54,Fertilizer & Compost,5200,tray,🧾
Compost Collective,No Tax,REF-6432,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,47814,Invoice,0.0,2025-07-19 13:54:00,417.03,,2617.44,417.03,Utilities,5600,bag,🏡
Tractor Depot,No Tax,REF-2757,False,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,22790,Payment,0.0,2025-07-19 16:28:00,553.82,CHK-2175,3797.67,553.82,Cash,1000,hammer,🧑‍🌾
Farm Co-op,No Tax,REF-2407,False,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,79207,Tax,0.0,2025-07-19 18:16:00,507.01,CHK-4017,4871.45,507.01,Insurance,5900,chart.bar,🧺
Farm Co-op,No Tax,REF-3628,True,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,90655,Tax,48.89,2025-07-19 11:11:00,0.0,,3200.37,48.89,Fertilizer & Compost,5200,dollarsign.circle,🏡
Compost Collective,Use Tax,REF-9859,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,83083,Equity Contribution,317.59,2025-07-19 17:23:00,0.0,CHK-4364,1948.16,317.59,Seeds & Amendments,5100,externaldrive,📦
Tractor Depot,Sales Tax,REF-8566,True,"This ain’t the garden of Eden, man.",Tractor repair service,19710,Expense,566.97,2025-07-19 11:59:00,0.0,,4119.05,566.97,Cost of Goods Sold,5000,folder,📦
Tractor Depot,No Tax,REF-2588,False,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,74961,Payroll,0.0,2025-07-19 11:42:00,825.46,,2027.64,825.46,Insurance,5900,gear,🚜
Muffin Utility Inc.,Use Tax,REF-6595,False,Beware of the Central Scrutinizer.,Equity contribution by Frank,99543,Expense,372.09,2025-07-19 13:27:00,0.0,CHK-9149,3474.0,372.09,Repairs & Maintenance,5400,leaf,🐝
Tractor Depot,Sales Tax,REF-2607,False,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,92909,Payment,0.0,2025-07-19 12:33:00,735.94,,4115.75,735.94,Depreciation,6000,bag,🌽
Tractor Depot,Use Tax,REF-9306,True,Someone painted the barn plaid again.,Weekly payroll distribution,84628,Payment,529.15,2025-07-19 08:49:00,0.0,CHK-2686,2763.04,529.15,Accounts Payable,2000,folder,🐄
Farm Co-op,Use Tax,REF-6156,True,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,44903,Expense,499.31,2025-07-19 14:59:00,0.0,CHK-5230,2062.96,499.31,Taxes Payable,2200,creditcard,🔧
Farm Co-op,Sales Tax,REF-9852,False,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,26209,Equity Contribution,889.49,2025-07-19 14:12:00,0.0,CHK-7872,3697.76,889.49,Taxes Payable,2200,dollarsign.circle,🛠
Compost Collective,Sales Tax,REF-4469,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,40664,Expense,0.0,2025-07-19 11:10:00,1083.19,,2329.18,1083.19,Cost of Goods Sold,5000,calendar,🏡
Johnny's Seeds,Use Tax,REF-5317,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,97107,Payment,1057.99,2025-07-19 13:16:00,0.0,,4063.19,1057.99,Inventory,1200,folder,🚜
Zappa Solar,Sales Tax,REF-9426,True,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,99524,Sale,0.0,2025-07-19 14:26:00,522.26,CHK-8229,2754.51,522.26,Wages Payable,2100,leaf,🐄
Johnny's Seeds,Sales Tax,REF-6236,False,Billy the Mountain requested cash.,Payment for organic compost delivery,26102,Tax,551.45,2025-07-19 08:56:00,0.0,CHK-1039,3198.52,551.45,Sales - Value-Added Goods,4100,tray,🐔
Zappa Solar,No Tax,REF-2267,False,Beware of the Central Scrutinizer.,Weekly payroll distribution,26374,Payment,0.0,2025-07-19 17:43:00,823.16,,1245.1,823.16,Seeds & Amendments,5100,folder,🐔
USDA,No Tax,REF-9560,False,Beware of the Central Scrutinizer.,Equity contribution by Frank,60441,Equity Contribution,0.0,2025-07-19 07:02:00,1067.08,CHK-5700,1040.44,1067.08,Cash,1000,externaldrive,🍅
Muffin Utility Inc.,Use Tax,REF-6480,True,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,66205,Payment,124.94,2025-07-19 16:57:00,0.0,,2038.33,124.94,Fertilizer & Compost,5200,dollarsign.circle,💼
Farm Co-op,No Tax,REF-7273,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,69233,Sale,254.18,2025-07-19 12:21:00,0.0,CHK-8423,1702.28,254.18,Cash,1000,cart,🚜
Compost Collective,Use Tax,REF-5471,True,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,82752,Payment,290.7,2025-07-19 11:44:00,0.0,CHK-9849,3120.76,290.7,Professional Services,5800,cart,📅
Tractor Depot,No Tax,REF-9163,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,53055,Payroll,0.0,2025-07-19 08:00:00,688.64,CHK-9322,2402.79,688.64,Sales - Produce,4000,leaf,📊
Compost Collective,No Tax,REF-9532,False,Eggplant royalty dispute resolved.,Equity contribution by Frank,46362,Tax,0.0,2025-07-19 11:36:00,849.48,CHK-5990,2535.71,849.48,Utilities,5600,book,📊
Zappa Solar,Sales Tax,REF-5401,True,"This ain’t the garden of Eden, man.",Equity contribution by Frank,92561,Payment,0.0,2025-07-19 07:58:00,708.79,CHK-4874,4054.0,708.79,Cash,1000,tray,🧾
Tractor Depot,No Tax,REF-1744,True,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,33372,Tax,0.0,2025-07-19 08:37:00,57.3,CHK-4094,3960.44,57.3,Depreciation,6000,globe,🏡
USDA,Use Tax,REF-6900,True,Eggplant royalty dispute resolved.,Tractor repair service,23237,Equity Contribution,0.0,2025-07-19 16:39:00,805.09,CHK-7076,2509.66,805.09,Cost of Goods Sold,5000,book,🐔
Tractor Depot,Sales Tax,REF-7690,False,"This ain’t the garden of Eden, man.",Weekly payroll distribution,43760,Sale,1127.3,2025-07-19 17:14:00,0.0,CHK-4652,4088.65,1127.3,Cost of Goods Sold,5000,cart,📊
Tractor Depot,Use Tax,REF-5258,True,Paid in kale chips and weird looks.,Equity contribution by Frank,60198,Expense,0.0,2025-07-19 10:20:00,831.49,,3118.36,831.49,Marketing & Promotion,5700,folder,🧺
Johnny's Seeds,Sales Tax,REF-6756,True,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,97244,Tax,664.46,2025-07-19 10:49:00,0.0,,2746.29,664.46,Sales - Value-Added Goods,4100,tray,🧺
Compost Collective,Sales Tax,REF-1509,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,61339,Equity Contribution,64.06,2025-07-19 07:14:00,0.0,CHK-7167,2641.93,64.06,Accounts Receivable,1100,person.crop.circle,🐄
Muffin Utility Inc.,Sales Tax,REF-8050,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,89671,Equity Contribution,363.09,2025-07-19 11:26:00,0.0,CHK-8821,3473.19,363.09,Repairs & Maintenance,5400,calendar,🐝
USDA,No Tax,REF-4310,False,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,62284,Payroll,0.0,2025-07-19 18:23:00,262.16,CHK-5487,3945.76,262.16,Utilities,5600,cart,🏡
Compost Collective,Sales Tax,REF-8696,True,"This ain’t the garden of Eden, man.",Tractor repair service,93464,Payment,0.0,2025-07-19 17:00:00,998.9,CHK-6543,2411.97,998.9,Cost of Goods Sold,5000,bag,💼
Zappa Solar,No Tax,REF-2079,False,Billy the Mountain requested cash.,Payment for organic compost delivery,70291,Invoice,353.75,2025-07-20 17:24:00,0.0,,1886.99,353.75,Seeds & Amendments,5100,plusminus,🌱
Muffin Utility Inc.,Use Tax,REF-4005,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,73435,Sale,623.92,2025-07-20 18:46:00,0.0,,4104.62,623.92,Seeds & Amendments,5100,calendar,🪣
USDA,Sales Tax,REF-3678,True,Paid in kale chips and weird looks.,Tractor repair service,17253,Payroll,0.0,2025-07-20 17:30:00,294.55,,4243.16,294.55,Sales - Value-Added Goods,4100,book,📊
USDA,No Tax,REF-7187,False,Eggplant royalty dispute resolved.,Payment for organic compost delivery,66174,Payroll,0.0,2025-07-20 17:02:00,1077.99,CHK-2809,4209.0,1077.99,Fertilizer & Compost,5200,doc.plaintext,🌽
Zappa Solar,No Tax,REF-4645,True,Billy the Mountain requested cash.,Weekly payroll distribution,26780,Expense,0.0,2025-07-20 14:28:00,375.12,CHK-7998,4820.51,375.12,Cash,1000,person.crop.circle,🪣
Johnny's Seeds,No Tax,REF-6504,True,Billy the Mountain requested cash.,Weekly payroll distribution,27643,Expense,281.23,2025-07-20 16:07:00,0.0,CHK-8668,3031.3,281.23,Utilities,5600,bag,🐝
Compost Collective,Use Tax,REF-1213,False,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,12010,Equity Contribution,0.0,2025-07-20 12:55:00,607.55,CHK-7387,1359.14,607.55,Payroll Expenses,5500,calendar,📦
USDA,Use Tax,REF-7050,True,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,65956,Expense,0.0,2025-07-20 14:01:00,370.31,,4168.39,370.31,Repairs & Maintenance,5400,calendar,🌱
Zappa Solar,No Tax,REF-2119,True,Billy the Mountain requested cash.,Equity contribution by Frank,87740,Sale,0.0,2025-07-20 09:36:00,878.8,,2535.22,878.8,Sales - Value-Added Goods,4100,chart.bar,📅
Johnny's Seeds,Sales Tax,REF-2003,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,42147,Expense,226.51,2025-07-20 08:00:00,0.0,CHK-5199,2981.06,226.51,Repairs & Maintenance,5400,dollarsign.circle,🧾
Tractor Depot,Use Tax,REF-9385,True,Someone painted the barn plaid again.,Weekly payroll distribution,11271,Sale,0.0,2025-07-20 10:20:00,247.27,,3678.6,247.27,Utilities,5600,cart,🍅
Farm Co-op,No Tax,REF-5783,False,Beware of the Central Scrutinizer.,Equity contribution by Frank,33375,Equity Contribution,1006.7,2025-07-20 14:17:00,0.0,CHK-9089,3699.14,1006.7,Marketing & Promotion,5700,chart.bar,💼
Tractor Depot,Sales Tax,REF-5097,True,Eggplant royalty dispute resolved.,Equity contribution by Frank,60240,Payroll,912.62,2025-07-20 11:17:00,0.0,CHK-8261,3343.52,912.62,Wages Payable,2100,person.crop.circle,📅
Farm Co-op,Use Tax,REF-2575,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,28495,Tax,1137.92,2025-07-20 18:03:00,0.0,CHK-1916,2213.74,1137.92,Utilities,5600,folder,🐄
USDA,Use Tax,REF-2674,True,Eggplant royalty dispute resolved.,Equity contribution by Frank,30793,Payment,204.26,2025-07-20 14:14:00,0.0,CHK-8771,3720.7,204.26,Owner's Equity,3000,hammer,🔧
Compost Collective,Sales Tax,REF-8597,True,Someone painted the barn plaid again.,Sale at Saturday farmer's market,61012,Payment,0.0,2025-07-20 12:37:00,691.92,,1290.2,691.92,Depreciation,6000,tray,📊
USDA,Sales Tax,REF-7104,False,Billy the Mountain requested cash.,Sale at Saturday farmer's market,36299,Equity Contribution,0.0,2025-07-20 18:26:00,967.21,,3867.42,967.21,Fuel,5300,calendar,🧺
Tractor Depot,No Tax,REF-6415,True,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,74390,Equity Contribution,145.88,2025-07-20 13:15:00,0.0,CHK-8573,1772.08,145.88,Cost of Goods Sold,5000,gear,🐝
Muffin Utility Inc.,Sales Tax,REF-9873,True,Beware of the Central Scrutinizer.,Equity contribution by Frank,93919,Expense,0.0,2025-07-20 14:59:00,278.36,,1321.76,278.36,Payroll Expenses,5500,tray,📦
Zappa Solar,Use Tax,REF-8423,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,75403,Tax,0.0,2025-07-20 12:11:00,428.63,CHK-4040,4253.28,428.63,Repairs & Maintenance,5400,book,🧑‍🌾
Johnny's Seeds,No Tax,REF-3648,False,Billy the Mountain requested cash.,Weekly payroll distribution,32983,Invoice,62.68,2025-07-20 07:27:00,0.0,,3628.73,62.68,Inventory,1200,tray,🌽
Farm Co-op,No Tax,REF-8260,False,Eggplant royalty dispute resolved.,Payment for organic compost delivery,18663,Invoice,221.04,2025-07-20 11:32:00,0.0,,1365.2,221.04,Owner's Equity,3000,globe,📅
Tractor Depot,Sales Tax,REF-5675,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,49508,Invoice,1153.78,2025-07-20 18:23:00,0.0,,3385.23,1153.78,Fuel,5300,cart,🐝
Compost Collective,Sales Tax,REF-1266,True,"This ain’t the garden of Eden, man.",Tractor repair service,19462,Expense,328.55,2025-07-20 11:15:00,0.0,,4639.05,328.55,Inventory,1200,creditcard,🏡
Farm Co-op,Use Tax,REF-8222,True,Someone painted the barn plaid again.,Tractor repair service,65795,Payroll,0.0,2025-07-20 17:18:00,537.96,CHK-5960,3548.82,537.96,Marketing & Promotion,5700,dollarsign.circle,💼
USDA,Sales Tax,REF-1073,False,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,87748,Sale,0.0,2025-07-20 18:35:00,668.27,,3128.45,668.27,Accounts Payable,2000,globe,🛠
Muffin Utility Inc.,Sales Tax,REF-6486,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,46030,Payroll,797.8,2025-07-20 12:28:00,0.0,,1474.31,797.8,Payroll Expenses,5500,doc.plaintext,🐔
Zappa Solar,No Tax,REF-8503,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,24624,Payment,0.0,2025-07-20 15:03:00,452.64,,3673.9,452.64,Sales - Value-Added Goods,4100,dollarsign.circle,💸
USDA,Sales Tax,REF-6594,False,Paid in kale chips and weird looks.,Payment for organic compost delivery,84984,Invoice,441.02,2025-07-20 14:06:00,0.0,CHK-3318,1283.87,441.02,Prepaid Expenses,1300,briefcase,🌽
Tractor Depot,Use Tax,REF-9891,False,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,47613,Payroll,0.0,2025-07-20 12:40:00,1139.36,CHK-2889,4746.53,1139.36,Cash,1000,tray,📅
Zappa Solar,Sales Tax,REF-6417,True,Someone painted the barn plaid again.,Weekly payroll distribution,54334,Expense,898.33,2025-07-20 07:00:00,0.0,,4356.38,898.33,Payroll Expenses,5500,book,🐄
Tractor Depot,No Tax,REF-3246,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,24010,Invoice,0.0,2025-07-20 14:49:00,806.4,,4185.02,806.4,Sales - Value-Added Goods,4100,externaldrive,🏡
Compost Collective,Sales Tax,REF-7605,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,26630,Payment,322.41,2025-07-20 07:13:00,0.0,CHK-1015,3502.64,322.41,Depreciation,6000,wrench,📦
Farm Co-op,No Tax,REF-4829,True,Someone painted the barn plaid again.,Sale at Saturday farmer's market,98348,Sale,0.0,2025-07-20 13:02:00,1161.34,CHK-6924,2577.79,1161.34,Insurance,5900,wrench,🍅
Johnny's Seeds,Sales Tax,REF-9632,True,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,71728,Tax,0.0,2025-07-20 11:55:00,76.48,CHK-8702,4172.33,76.48,Cost of Goods Sold,5000,briefcase,🏡
Compost Collective,No Tax,REF-5811,True,Paid in kale chips and weird looks.,Equity contribution by Frank,61346,Tax,0.0,2025-07-20 07:40:00,1138.34,CHK-5019,2341.55,1138.34,Owner's Equity,3000,hammer,📦
Farm Co-op,No Tax,REF-3307,True,"This ain’t the garden of Eden, man.",Utility payment: irrigation pump,98551,Invoice,0.0,2025-07-20 09:23:00,351.94,,2222.25,351.94,Insurance,5900,leaf,🧑‍🌾
Tractor Depot,Sales Tax,REF-6356,True,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,54907,Payment,170.89,2025-07-20 07:50:00,0.0,,3104.43,170.89,Payroll Expenses,5500,gear,🚜
